"CASO" "KCMATER" "HB" "HC" "HD" "HE" "HF" "HG" "HH" "HI" "FIREP" "FICCUID" "FIDIST" "FICDOC" "FICAMIG" "FIPUBLI" "FIAMAB" "FIIMOD" "FIEMOD" "FISEG" "FAMIL" "ELECHOSP" "SERPERF" "ALEALTAD" "AMSERV" "ASCOM" "ACALIDAD" "ACOMOD" "VKC" "VB" "VC" "VD" "VE" "VF" "VG" "VH" "VI" "INTERES" "COMPROM" "ESFUER" "MOTIV" "DIFICULT" "SEXO" "ESTADOMA" "EDAD" "NIVELEDU" "INGRESOS"
"136" 136 0 1 1 0 0 1 0 0 0 5 3 2 5 2 2 3 5 4 3 6 1000 0 6 5 3 4 2 0 0 3 0 0 0 0 0 0 4 5 3 3 5 0 0 100 1 10
"137" 137 0 1 1 0 0 1 0 0 0 5 3 3 5 3 3 3 6 4 3 5 1000 0 2 5 2 3 3 0 3 0 0 0 6 0 0 0 6 5 4 5 5 0 0 0 1 10
"138" 138 0 0 0 1 0 0 0 0 1 2 2 3 3 2 5 3 2 2 6 1 1e+05 10 4 2 5 2 4 0 0 0 0 0 0 0 0 3 3 4 4 5 4 1 1 1 0 0
"139" 139 0 0 0 0 1 0 1 1 0 2 5 3 2 6 2 6 2 1 3 4 10000 100 3 5 4 5 2 0 0 0 0 0 0 5 3 0 4 4 4 4 5 0 0 0 1 10
"140" 140 0 1 1 0 0 1 0 0 0 6 2 3 5 3 2 3 5 5 2 5 1e+06 0 4 5 2 4 3 0 0 4 0 0 0 0 0 0 5 5 4 5 5 0 0 0 1 10
"141" 141 0 1 1 0 0 1 0 0 0 6 2 3 6 2 3 3 5 6 3 6 1000 0 4 5 2 4 3 0 0 3 0 0 4 0 0 0 4 5 5 4 4 0 0 0 1 10
"142" 142 0 0 0 0 1 0 1 1 0 3 6 2 1 5 3 5 3 3 3 4 10000 100 3 4 4 5 3 0 0 0 0 0 0 0 5 0 4 4 5 5 4 0 0 100 10 100
"143" 143 0 1 1 0 0 1 0 0 0 5 3 3 5 2 2 3 4 6 2 6 1000 0 4 5 3 4 2 0 0 0 0 5 0 0 0 0 4 4 5 4 6 0 0 0 1 10
"144" 144 0 1 1 0 0 1 0 0 0 5 4 3 6 2 3 3 5 6 3 6 1000 0 5 5 2 4 2 0 0 0 0 0 6 0 0 0 5 5 6 5 4 0 0 0 1 10
"145" 145 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 3 6 5 2 5 1000 0 3 6 3 4 3 0 0 0 0 0 9 4 0 0 6 4 5 5 4 0 0 0 1 1
"146" 146 0 1 1 0 0 1 0 0 0 6 3 2 5 2 2 3 6 5 3 6 1e+07 0 3 5 2 4 2 0 5 0 0 0 0 3 0 0 6 6 5 4 5 0 0 100 1 10
"147" 147 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 3 6 5 2 6 1000 0 6 5 3 4 3 0 0 0 0 7 4 0 0 0 5 3 4 5 6 0 0 0 1 10
"148" 148 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 2 3 4 10000 100 3 3 4 5 3 0 0 0 0 9 0 0 0 0 5 4 3 4 4 0 0 10 10 10000
"149" 149 0 0 0 0 1 0 1 1 0 3 5 3 2 5 2 6 3 2 2 3 100 100 2 4 4 5 3 0 0 0 0 3 0 5 0 0 5 4 4 6 4 0 0 100 100 100
"150" 150 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 6 2 3 3 3 10000 100 3 4 4 5 3 0 0 0 0 2 0 2 7 0 4 3 4 3 4 0 0 10 10 100
"151" 151 0 0 0 0 1 0 1 1 0 3 6 3 2 4 2 5 2 3 3 3 10 100 4 4 4 6 2 0 0 0 0 0 0 0 6 0 5 4 4 4 5 0 0 100 10 100
"152" 152 0 0 0 1 0 0 0 0 1 2 1 3 1 3 6 3 2 1 5 2 1 10 1 2 5 2 4 0 0 0 0 0 0 0 4 5 4 5 4 5 5 0 1 1 0 100
"153" 153 1 0 0 0 0 0 0 0 0 3 3 6 2 2 2 3 2 3 2 1 0 1 4 2 2 2 6 4 0 0 0 0 2 0 0 0 6 5 5 5 5 1 10 1 0 10
"154" 154 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 6 2 3 3 4 10000 100 2 4 4 5 3 0 0 0 0 9 0 0 0 0 3 5 3 5 3 0 0 100 100 100
"155" 155 0 0 0 1 0 0 0 0 1 3 2 2 4 2 5 3 3 2 6 1 1e+05 10 3 3 6 2 4 0 0 0 9 0 0 0 0 3 6 5 4 5 5 1 1 100 100 1000
"156" 156 0 0 0 1 0 0 0 0 1 2 4 3 2 2 6 3 2 4 6 2 1e+05 10 4 2 5 2 3 0 0 0 9 0 0 0 0 0 5 5 5 4 5 0 1 1 0 10000
"157" 157 0 1 1 0 0 1 0 0 0 5 3 3 6 1 2 3 4 5 2 5 1e+06 0 3 5 2 4 3 0 3 4 0 0 0 0 0 0 5 4 4 4 4 0 0 100 10 10
"158" 158 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 6 2 1 2 4 100 100 3 4 4 5 2 0 0 0 0 0 0 4 0 0 4 6 2 6 5 0 0 100 10 100
"159" 159 0 1 1 0 0 1 0 0 0 5 2 3 5 2 2 3 6 5 3 5 1e+07 0 2 6 2 4 3 0 7 0 0 0 0 5 0 0 6 4 4 4 4 0 0 0 1 1
"160" 160 0 0 0 0 1 0 1 1 0 3 6 3 3 6 2 6 2 3 3 3 100 100 4 4 4 5 3 0 3 0 0 0 0 4 0 0 4 5 4 4 3 0 0 100 10 100
"161" 161 0 0 0 0 1 0 1 1 0 3 5 3 2 5 3 6 3 2 3 4 10 100 3 4 4 5 2 0 0 0 0 0 0 0 2 0 6 4 4 5 3 0 0 100 10 100
"162" 162 0 0 0 0 1 0 1 1 0 2 5 2 3 5 1 6 1 3 2 4 10000 100 5 4 4 6 3 0 0 0 0 6 0 0 0 0 6 4 3 6 5 0 0 100 10 100
"163" 163 0 0 0 0 1 0 1 1 0 2 5 3 2 6 2 6 2 2 2 4 100 100 3 4 4 5 3 0 0 0 0 0 0 8 0 3 6 3 5 5 4 0 0 100 100 100
"164" 164 0 1 1 0 0 1 0 0 0 4 3 3 5 2 2 2 6 4 3 6 1e+07 0 3 6 2 4 3 0 2 4 0 0 0 0 0 0 3 5 4 6 5 0 0 0 1 1
"165" 165 0 1 1 0 0 1 0 0 0 6 4 3 5 3 2 3 5 6 3 6 1000 0 5 5 2 4 3 0 4 0 0 0 5 0 0 0 5 5 4 6 4 0 0 100 1 10
"166" 166 0 1 1 0 0 1 0 0 0 5 3 2 5 3 2 2 5 5 3 6 1e+07 0 3 6 2 4 2 0 9 0 0 0 4 0 0 0 6 6 5 5 4 0 0 0 1 1
"167" 167 0 0 0 0 1 0 1 1 0 2 5 2 3 5 2 6 3 3 2 4 10000 100 2 4 4 5 3 0 0 0 0 2 0 0 5 0 4 5 4 5 4 0 0 1 100 100
"168" 168 0 0 0 1 0 0 0 0 1 2 2 3 1 2 5 3 1 2 6 2 1 10 4 3 5 2 4 0 0 0 0 0 0 3 0 4 5 4 4 4 5 1 1 10 100 1000
"169" 169 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 6 3 1 3 4 10000 100 4 4 4 5 3 0 0 0 0 2 0 0 5 0 6 4 4 3 4 0 0 100 100 1000
"170" 170 0 0 0 0 1 0 1 1 0 3 5 3 2 5 2 6 1 2 3 4 10 100 4 4 4 5 3 0 0 0 0 0 0 0 8 0 5 5 4 6 6 0 0 100 100 100
"171" 171 0 0 0 1 0 0 0 0 1 1 3 3 2 3 5 3 2 2 5 2 1 10 5 2 6 3 4 0 0 0 0 0 0 0 0 5 5 5 4 5 4 0 1 1 0 0
"172" 172 0 0 0 0 1 0 1 1 0 2 6 3 3 5 3 6 3 2 3 3 10000 100 6 4 4 6 2 6 0 0 0 8 0 0 0 0 4 5 5 4 4 0 0 100 10 100
"173" 173 0 0 0 0 1 0 1 1 0 1 5 2 1 6 3 6 2 2 2 4 100 100 4 4 4 5 3 0 0 0 0 0 0 2 6 2 4 2 4 4 4 0 0 100 0 100
"174" 174 1 0 0 0 0 0 0 0 0 3 3 6 3 2 2 3 2 2 2 2 0 1 4 2 3 2 6 4 0 0 0 5 3 0 0 0 4 5 4 5 5 0 10 1 0 0
"175" 175 0 1 1 0 0 1 0 0 0 6 2 3 6 2 2 3 5 6 3 6 1e+07 0 4 5 3 3 2 0 5 5 0 0 0 2 0 0 5 4 5 6 4 0 0 0 1 100
"176" 176 0 1 1 0 0 1 0 0 0 6 3 3 6 2 2 2 5 5 3 6 1000 0 3 5 3 3 3 0 0 0 0 4 3 0 0 0 5 4 4 4 5 0 0 0 1 10
"177" 177 0 1 1 0 0 1 0 0 0 6 3 3 5 2 3 3 5 5 2 5 1000 0 2 5 3 3 3 0 0 0 0 0 3 0 0 0 6 5 4 3 4 0 0 0 1 10
"178" 178 0 1 1 0 0 1 0 0 0 5 2 3 5 2 2 3 6 6 3 6 1e+07 0 3 5 3 4 3 0 0 3 0 0 0 0 0 0 5 4 3 5 3 0 0 0 1 10
"179" 179 0 1 1 0 0 1 0 0 0 6 3 3 5 3 2 3 5 6 3 5 1000 0 3 6 2 4 2 0 0 0 0 3 3 0 0 0 5 5 4 4 3 0 0 100 1 1
"180" 180 0 0 0 0 1 0 1 1 0 2 6 2 3 5 1 6 2 3 3 3 10 100 3 3 5 5 2 0 0 0 0 0 0 2 4 5 4 5 5 5 4 0 0 100 100 1000
"181" 181 0 1 1 0 0 1 0 0 0 6 3 3 5 3 2 3 6 5 3 6 1e+07 0 4 5 3 4 3 0 6 0 0 0 0 3 0 0 6 4 4 6 5 0 0 0 1 10
"182" 182 0 1 1 0 0 1 0 0 0 5 3 2 5 2 3 3 5 5 3 6 1e+07 0 1 5 3 3 3 0 4 5 0 0 0 0 0 0 6 4 6 6 6 0 0 0 1 10
"183" 183 0 0 0 1 0 0 0 0 1 2 3 3 2 2 6 3 3 3 5 1 1e+05 10 4 2 6 2 4 0 0 0 5 0 0 2 0 2 4 4 4 5 5 1 1 1 0 100
"184" 184 0 0 0 0 1 0 1 1 0 2 6 3 1 5 3 6 3 3 2 4 10000 100 5 4 4 5 4 0 0 0 0 9 4 0 3 0 4 4 5 5 4 0 0 100 10 100
"185" 185 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 2 6 5 2 6 1e+06 0 5 5 2 4 2 0 0 9 0 0 3 0 0 0 5 5 5 3 4 0 0 0 1 10
"186" 186 0 0 0 0 1 0 1 1 0 3 6 3 3 5 2 6 1 3 3 4 10000 100 3 4 4 5 2 0 0 0 0 4 0 0 5 0 5 6 5 5 5 0 0 10 0 100
"187" 187 0 1 1 0 0 1 0 0 0 5 3 3 6 2 2 3 6 5 2 5 1000 0 3 6 3 4 3 0 0 0 0 0 3 0 0 0 3 5 5 6 5 0 0 0 1 1
"188" 188 0 0 0 0 1 0 1 1 0 3 6 3 4 6 2 5 2 1 3 4 100 100 4 3 4 5 3 0 0 0 0 0 0 9 6 0 4 5 4 6 5 0 0 100 10 10000
"189" 189 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 3 2 3 4 100 100 3 4 5 5 3 0 0 0 0 0 0 0 0 0 6 4 4 5 6 0 0 10 100 10000
"190" 190 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 1 3 4 10 100 5 4 3 6 3 0 0 0 0 5 0 7 2 0 4 4 5 5 6 0 0 100 100 100
"191" 191 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 6 3 2 3 4 10000 100 2 4 4 5 3 0 0 0 0 5 6 0 3 0 5 6 6 5 4 0 0 10 10 100
"192" 192 0 0 0 0 1 0 1 1 0 2 6 3 2 5 3 6 3 2 3 4 100 100 4 4 4 5 3 0 0 0 0 0 0 7 0 0 5 5 4 5 5 0 0 100 10 10000
"193" 193 0 0 0 0 1 0 1 1 0 3 5 2 1 5 2 6 2 2 3 4 10000 100 3 4 4 5 3 0 0 0 0 0 3 0 0 0 4 4 4 5 4 0 0 100 10 100
"194" 194 0 1 1 0 0 1 0 0 0 5 1 3 6 1 3 3 6 5 3 6 1e+06 0 4 6 3 4 2 0 5 6 0 0 0 0 0 0 4 4 5 3 3 0 0 0 10 1
"195" 195 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 3 3 4 100 100 3 4 4 6 3 0 0 0 0 0 0 6 6 0 5 5 4 5 4 0 0 100 10 100
"196" 196 0 1 1 0 0 1 0 0 0 5 3 3 5 1 2 3 5 4 2 6 1e+07 0 4 6 3 4 3 0 7 4 0 0 0 0 0 0 4 3 3 5 4 0 0 0 1 1
"197" 197 0 1 1 0 0 1 0 0 0 5 3 3 5 2 2 3 6 6 2 6 1000 0 4 6 3 4 2 0 0 0 0 3 2 0 0 0 6 5 3 5 4 0 0 0 1 1
"198" 198 0 0 0 0 1 0 1 1 0 2 5 3 1 5 2 6 3 1 3 4 100 100 2 4 4 5 2 0 0 0 0 4 0 3 2 0 6 5 4 4 4 0 0 100 10 10000
"199" 199 0 0 0 0 1 0 1 1 0 3 6 3 2 5 3 6 2 2 2 4 10 100 3 4 4 5 2 0 0 0 0 0 0 0 9 0 5 5 5 4 5 0 0 100 100 100
"200" 200 0 1 1 0 0 1 0 0 0 5 4 3 5 2 2 3 6 6 2 5 1e+06 0 3 6 2 4 2 0 0 5 0 0 3 0 0 0 5 4 2 5 6 0 0 0 10 1
"201" 201 0 1 1 0 0 1 0 0 0 5 3 2 5 2 3 2 6 6 3 5 1e+07 0 5 5 3 4 2 0 6 2 0 0 0 0 0 0 5 4 4 3 4 0 0 100 10 10
"202" 202 0 0 0 0 1 0 1 1 0 3 5 3 2 5 3 5 3 2 3 4 10000 100 3 4 4 5 2 0 0 0 0 0 0 0 4 0 4 3 4 6 4 0 0 100 10 10000
"203" 203 0 0 0 0 1 0 1 1 0 3 5 3 3 5 2 6 3 2 3 3 10000 100 4 4 4 5 2 0 0 0 0 6 0 3 0 0 4 6 4 6 5 0 0 100 100 100
"204" 204 0 0 0 0 1 0 1 1 0 2 6 3 2 6 2 6 2 2 2 4 100 100 2 4 4 5 2 0 0 0 0 0 0 6 4 0 4 4 4 3 5 0 0 10 100 100
"205" 205 0 0 0 0 1 0 1 1 0 2 6 3 2 4 2 6 3 2 3 3 10000 100 3 3 4 6 2 0 0 0 0 8 9 0 4 0 5 6 4 5 3 0 0 100 10 1000
"206" 206 0 0 0 1 0 0 0 0 1 3 2 3 4 2 5 3 3 2 6 2 1 10 2 2 5 2 4 0 0 0 0 0 0 0 3 0 4 5 4 5 5 0 1 1 0 10
"207" 207 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 3 2 2 4 10000 100 2 3 4 5 2 0 0 0 0 5 0 0 4 0 5 4 4 3 4 0 0 100 10 1000
"208" 208 0 1 1 0 0 1 0 0 0 6 4 3 6 2 2 3 5 5 3 6 1000 0 2 5 3 4 3 0 0 0 0 0 4 0 0 0 5 5 5 3 6 0 0 100 1 10
"209" 209 0 1 1 0 0 1 0 0 0 5 3 3 5 3 2 3 4 4 3 5 1000 0 3 5 3 4 3 0 0 2 0 0 0 0 0 0 5 3 5 4 5 0 0 0 1 10
"210" 210 0 0 0 1 0 0 0 0 1 3 3 3 2 2 5 2 3 3 5 1 1 10 4 2 5 2 4 0 0 0 0 0 0 0 0 2 5 5 5 4 5 1 1 1 0 100
"211" 211 1 0 0 0 0 0 0 0 0 2 2 6 2 3 3 3 2 2 3 2 0 1 6 3 2 2 6 0 0 0 0 5 0 0 0 0 4 4 4 4 5 1 10 100 10 1000
"212" 212 0 1 1 0 0 1 0 0 0 6 2 3 4 2 3 3 4 5 3 5 1000 0 3 5 3 4 2 0 2 0 0 0 5 0 0 0 6 4 4 6 6 0 0 0 10 10
"213" 213 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 2 3 3 10 100 3 4 4 5 3 0 0 0 0 0 0 0 4 0 4 5 4 5 5 0 0 100 10 100
"214" 214 0 0 0 0 1 0 1 1 0 2 6 3 1 5 2 5 2 1 3 4 10000 100 2 3 4 5 3 0 0 0 0 6 3 0 0 0 6 6 4 5 4 0 0 100 100 10000
"215" 215 0 0 0 0 1 0 1 1 0 2 6 3 2 6 2 6 3 3 3 3 10000 100 4 4 4 5 2 0 0 0 0 8 0 0 0 0 5 3 4 5 4 0 0 100 10 100
"216" 216 0 0 0 0 1 0 1 1 0 3 6 3 2 5 3 6 2 2 2 4 100 100 3 4 4 5 3 0 0 0 0 0 0 4 5 0 5 3 4 4 5 0 0 100 10 100
"217" 217 0 0 0 0 1 0 1 1 0 3 6 2 2 6 2 6 2 2 2 4 10 100 3 4 4 5 3 0 0 0 0 3 0 2 2 0 4 4 3 4 5 0 0 100 100 100
"218" 218 0 0 0 0 1 0 1 1 0 2 6 3 1 5 2 6 3 2 3 4 100 100 6 4 4 5 2 0 0 0 0 0 0 5 0 0 5 3 5 6 5 0 0 100 100 100
"219" 219 0 1 1 0 0 1 0 0 0 6 2 3 5 2 3 3 5 5 2 6 1e+07 0 5 5 3 4 2 0 2 2 0 0 0 3 0 0 5 4 4 4 4 0 0 0 1 10
"220" 220 0 1 1 0 0 1 0 0 0 6 2 3 6 2 2 3 5 5 2 6 1e+07 0 4 5 2 4 2 0 6 5 0 0 2 0 0 0 3 4 4 3 3 0 0 100 1 100
"221" 221 0 1 1 0 0 1 0 0 0 6 2 2 6 2 2 2 5 6 3 6 1000 0 2 5 3 4 3 0 0 0 0 3 5 0 0 0 4 5 5 4 4 0 0 0 1 10
"222" 222 0 0 0 0 1 0 1 1 0 3 6 3 1 4 3 6 2 2 3 4 10000 100 2 4 4 5 3 0 0 0 0 9 0 0 0 0 5 6 3 4 5 0 0 100 0 100
"223" 223 0 1 1 0 0 1 0 0 0 6 2 2 6 2 2 2 5 6 2 6 1000 0 6 5 2 4 3 0 0 0 0 0 9 0 0 0 3 4 4 5 4 0 0 0 1 10
"224" 224 0 1 1 0 0 1 0 0 0 6 2 3 5 2 2 2 5 5 3 5 1e+07 0 4 5 2 4 3 0 3 6 0 0 0 0 0 0 4 5 4 4 4 0 0 100 1 10
"225" 225 0 1 1 0 0 1 0 0 0 5 2 3 5 2 3 3 6 5 3 6 1000 0 2 5 3 4 2 0 0 7 0 0 5 0 0 0 4 5 4 5 4 0 0 0 1 10
"226" 226 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 3 5 5 3 5 1e+07 0 3 5 3 4 3 0 3 3 0 0 0 0 0 0 4 5 5 5 4 0 0 0 1 10
"227" 227 0 0 0 0 1 0 1 1 0 3 5 3 2 5 2 6 2 2 2 3 10 100 3 3 3 5 3 0 0 0 0 0 0 9 3 0 5 4 5 5 4 0 0 100 0 1000
"228" 228 0 0 0 1 0 0 0 0 1 3 2 2 2 2 5 3 2 3 6 2 1 10 3 2 5 2 4 0 0 0 0 0 0 0 3 4 5 3 5 4 5 0 1 1 0 0
"229" 229 0 1 1 0 0 1 0 0 0 5 3 3 5 3 2 3 6 5 2 5 1000 0 5 5 3 4 3 0 0 5 0 0 9 0 0 0 5 5 4 4 5 0 0 0 1 10
"230" 230 0 1 1 0 0 1 0 0 0 6 2 3 6 2 2 3 6 5 3 5 1000 0 2 6 2 4 3 0 2 5 0 0 3 0 0 0 4 5 4 4 5 0 0 0 1 1
"231" 231 0 0 0 1 0 0 0 0 1 3 3 3 2 2 5 3 2 1 5 1 1 10 3 2 5 2 4 0 0 0 9 0 0 0 2 5 3 4 6 6 3 1 1 1 0 1000
"232" 232 0 1 1 0 0 1 0 0 0 5 3 3 5 1 2 2 5 4 3 6 1e+07 0 3 5 3 3 3 0 6 0 0 0 0 3 0 0 5 4 4 4 5 0 0 100 1 10
"233" 233 1 0 0 0 0 0 0 0 0 3 3 5 2 2 2 3 3 2 3 2 0 1 4 2 2 2 6 9 0 0 0 0 0 0 0 0 3 4 3 5 5 0 10 1 0 10
"234" 234 0 1 1 0 0 1 0 0 0 6 4 3 5 2 2 3 5 5 3 5 1e+07 0 6 6 2 4 2 0 7 2 0 0 0 2 0 0 4 4 5 4 3 0 0 0 10 1
"235" 235 0 0 0 0 1 0 1 1 0 2 6 3 2 5 1 5 2 3 2 3 10 100 5 3 4 6 2 0 0 0 0 0 0 0 7 0 4 6 4 5 4 0 0 100 10 1000
"236" 236 0 1 1 0 0 1 0 0 0 6 2 3 5 2 3 3 5 6 3 6 1e+06 0 4 5 2 4 3 0 3 7 0 0 0 0 0 0 3 4 3 4 4 0 0 100 1 10
"237" 237 0 0 0 1 0 0 0 0 1 2 2 3 2 3 5 3 2 3 5 1 1 10 2 3 5 2 4 0 0 0 0 0 0 0 6 6 5 5 6 3 6 1 1 100 10 10000
"238" 238 0 0 0 0 1 0 1 1 0 2 6 3 1 5 3 6 2 1 3 4 10000 100 4 4 4 5 3 0 0 0 0 2 0 0 6 0 5 4 5 4 5 0 0 100 10 100
"239" 239 0 1 1 0 0 1 0 0 0 5 3 3 5 2 3 3 6 5 3 5 1000 0 3 5 2 4 3 0 6 5 0 0 7 0 0 0 4 5 6 5 4 0 0 0 10 10
"240" 240 0 1 1 0 0 1 0 0 0 5 2 3 4 3 2 3 6 6 2 6 1000 0 4 5 3 4 2 0 0 0 0 3 0 0 0 0 5 5 5 5 5 0 0 100 10 10
"241" 241 0 0 0 0 1 0 1 1 0 3 6 3 2 5 3 6 2 2 3 4 10 100 4 4 4 6 2 0 0 0 0 0 0 0 7 0 6 3 6 4 4 0 0 100 0 100
"242" 242 1 0 0 0 0 0 0 0 0 3 3 6 2 2 3 3 3 2 3 2 0 1 4 2 3 2 5 0 0 0 0 4 0 0 0 0 5 4 2 4 5 0 10 1 0 10000
"243" 243 0 0 0 1 0 0 0 0 1 2 2 3 2 3 5 2 2 2 6 1 1 10 3 2 5 2 4 0 0 0 3 0 0 0 0 7 4 5 3 4 4 1 1 1 0 0
"244" 244 0 1 1 0 0 1 0 0 0 6 4 2 5 2 3 3 5 4 3 6 1000 0 4 6 2 4 2 0 0 2 0 0 7 0 0 0 6 4 5 4 4 0 0 0 1 1
"245" 245 0 0 0 0 1 0 1 1 0 3 6 3 3 5 2 6 3 1 3 4 100 100 4 4 4 5 3 0 0 0 0 0 0 4 2 0 3 4 4 4 6 0 0 100 10 100
"246" 246 0 1 1 0 0 1 0 0 0 6 2 3 5 2 2 3 5 4 2 5 1e+06 0 4 6 3 4 3 0 4 5 0 0 5 0 0 0 5 3 6 4 5 0 0 0 1 1
"247" 247 0 0 0 0 1 0 1 1 0 3 5 3 2 5 3 5 3 2 3 4 10000 100 4 4 4 4 2 0 0 0 0 3 6 0 5 0 5 4 4 3 5 0 0 100 10 100
"248" 248 0 1 1 0 0 1 0 0 0 6 3 3 6 2 2 3 5 4 3 5 1000 0 3 5 3 4 2 0 0 0 0 0 2 0 0 0 4 3 3 5 5 0 0 100 1 100
"249" 249 0 0 0 1 0 0 0 0 1 4 2 3 3 2 5 3 3 2 6 2 1 10 5 3 5 2 4 0 0 0 0 0 0 5 4 2 5 5 4 4 3 1 1 100 10 10000
"250" 250 0 0 0 0 1 0 1 1 0 3 6 3 2 6 2 6 3 1 3 4 10000 100 4 3 4 6 3 0 0 0 0 5 0 0 3 0 6 2 4 6 5 0 0 100 10 1000
"251" 251 0 0 0 0 1 0 1 1 0 3 6 2 2 5 2 5 2 2 2 4 10000 100 3 4 4 5 2 0 0 0 0 2 0 0 0 0 4 4 4 4 5 0 0 100 10 10000
"252" 252 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 3 2 3 4 10000 100 4 4 4 5 3 0 0 0 0 0 2 0 8 0 5 4 5 4 6 0 0 100 10 10000
"253" 253 0 0 0 1 0 0 0 0 1 3 2 3 2 2 6 3 2 3 5 2 1 10 1 2 6 3 4 0 0 0 0 0 0 3 0 2 4 4 5 3 5 1 1 1 0 100
"254" 254 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 3 3 4 10000 100 6 4 5 5 2 0 0 0 0 0 0 0 2 0 4 4 6 5 5 0 0 100 10 100
"255" 255 0 0 0 0 1 0 1 1 0 2 5 3 3 5 2 5 3 2 3 3 10 100 4 4 4 5 2 0 0 0 0 3 0 0 3 0 4 4 5 3 3 0 0 100 10 10000
"256" 256 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 1 3 4 100 100 1 4 4 6 3 0 0 0 0 0 0 6 0 2 3 5 5 4 5 0 0 100 100 100
"257" 257 0 1 1 0 0 1 0 0 0 5 3 3 5 2 1 3 5 4 3 6 1000 0 5 5 2 4 3 0 0 0 0 0 9 0 0 0 5 5 5 3 4 0 0 0 1 10
"258" 258 0 0 0 0 1 0 1 1 0 3 5 2 1 5 2 5 2 1 2 4 10 100 2 4 4 5 3 0 0 0 0 2 0 0 6 0 4 6 5 4 4 0 0 10 10 100
"259" 259 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 2 1 2 4 10000 100 4 4 4 6 3 0 0 0 0 9 0 4 0 0 6 6 5 5 5 0 0 100 0 10000
"260" 260 0 1 1 0 0 1 0 0 0 6 2 3 6 2 3 2 6 5 2 6 1000 0 3 5 3 4 3 0 0 0 0 2 5 0 0 0 5 4 3 3 5 0 0 100 10 10
"261" 261 0 0 0 0 1 0 1 1 0 2 6 2 3 5 3 6 3 2 3 3 10000 100 4 4 4 5 3 6 0 0 0 2 0 0 0 0 4 6 5 5 4 0 0 10 10 100
"262" 262 0 0 0 0 1 0 1 1 0 3 6 3 2 4 2 5 2 3 2 4 10000 100 3 4 4 4 2 0 0 0 0 3 0 4 3 0 6 5 3 5 5 0 0 100 10 100
"263" 263 0 0 0 0 1 0 1 1 0 3 5 3 2 5 2 5 3 1 3 4 10000 100 4 4 4 5 2 5 0 0 0 7 0 0 3 0 5 5 4 6 4 0 0 100 100 100
"264" 264 0 1 1 0 0 1 0 0 0 6 3 3 6 2 2 3 6 6 3 6 1e+07 0 3 5 3 4 2 0 3 5 0 0 5 0 0 0 4 4 4 6 4 0 0 0 1 100
"265" 265 0 0 0 0 1 0 1 1 0 2 6 2 3 4 3 5 3 3 3 3 10000 100 4 4 4 6 3 0 0 0 0 0 0 0 5 0 4 5 4 4 5 0 0 100 0 100
"266" 266 0 1 1 0 0 1 0 0 0 6 2 3 5 2 2 3 5 6 2 6 1000 0 5 5 2 5 3 0 0 0 0 7 2 0 0 0 4 4 6 4 3 0 0 100 1 100
"267" 267 0 1 1 0 0 1 0 0 0 6 2 3 5 2 2 3 6 5 3 6 1000 0 3 5 2 3 2 0 0 0 0 0 9 0 0 0 4 4 4 3 3 0 0 100 10 10
"268" 268 0 0 0 0 1 0 1 1 0 2 5 3 2 5 3 6 2 3 3 4 10000 100 5 4 4 6 3 0 0 0 0 0 0 0 0 0 5 5 5 4 4 0 0 100 100 100
"269" 269 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 5 4 3 3 4 10000 100 4 4 4 6 3 0 0 0 0 6 0 0 5 0 5 5 5 4 3 0 0 100 100 100
"270" 270 0 1 1 0 0 1 0 0 0 6 3 2 6 2 2 3 6 5 3 5 1e+07 0 3 5 3 4 2 0 0 0 0 0 2 0 0 0 4 4 5 6 5 0 0 0 1 10
