CASO,KCMATER,HB,HC,HD,HE,HF,HG,HH,HI,FIREP,FICCUID,FIDIST,FICDOC,FICAMIG,FIPUBLI,FIAMAB,FIIMOD,FIEMOD,FISEG,FAMIL,ELECHOSP,SERPERF,ALEALTAD,AMSERV,ASCOM,ACALIDAD,ACOMOD,VKC,VB,VC,VD,VE,VF,VG,VH,VI,INTERES,COMPROM,ESFUER,MOTIV,DIFICULT,SEXO,ESTADOMA,EDAD,NIVELEDU,INGRESOS,PC1,PC2,PC3,clusterpca
110,0,0,0,0,1,0,1,1,0,2,6,2,2,5,2,6,1,2,3,3,10000,100,4,4,4,4,3,0,0,0,0,9,0,0,0,0,4,5,6,4,5,0,0,100,100,100,-2.79067772050203,0.479112515706249,-0.994621173818286,3
111,0,1,1,0,0,1,0,0,0,6,2,3,6,2,2,2,6,5,3,5,1e+06,0,4,5,2,4,3,0,4,5,0,0,4,0,0,0,4,3,5,4,4,0,0,0,1,10,3.71322528826869,0.386315694187591,0.070530814487217,1
112,0,0,0,0,1,0,1,1,0,3,6,3,1,5,2,6,2,2,2,4,10000,100,4,4,4,5,3,7,0,0,0,0,0,0,0,0,4,5,4,4,5,0,0,100,0,1000,-2.51610214475735,0.985598409263746,0.341139074007549,3
113,0,0,0,0,1,0,1,1,0,3,6,2,2,5,2,5,2,3,3,4,100,100,1,4,4,5,3,0,0,0,0,0,0,5,0,0,5,4,3,4,4,0,0,100,100,100,-1.80797748690058,0.671886132746886,-1.10606691845425,3
114,0,0,0,0,1,0,1,1,0,2,5,3,2,5,3,6,2,2,3,3,100,100,3,4,4,5,2,0,0,0,0,6,0,5,0,0,4,5,5,4,4,0,0,10,0,100,-2.30145456702012,-0.330046029137418,-0.0686265418737804,3
115,0,1,1,0,0,1,0,0,0,5,2,3,6,2,1,3,5,6,3,6,1000,0,4,5,3,4,3,0,0,5,0,0,4,0,0,0,4,4,4,4,5,0,0,100,1,10,3.20304975424564,0.958087628422957,0.341787271236675,1
116,0,0,0,0,1,0,1,1,0,3,5,2,1,5,2,6,2,2,2,4,10000,100,5,4,4,6,2,0,0,0,0,9,3,0,3,0,3,4,4,2,5,0,0,100,10,100,-2.30672906182658,1.01441578650072,-0.752900113648097,3
117,0,0,0,0,1,0,1,1,0,2,5,3,2,6,2,6,3,3,3,3,10000,100,4,4,4,5,3,0,0,0,0,3,0,0,0,0,4,5,4,5,6,0,0,100,100,100,-2.06785693678173,0.594620890727816,-0.0157157104541584,3
118,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,6,2,3,3,4,10000,100,6,4,4,5,3,0,0,0,0,3,0,0,0,0,4,6,4,4,5,0,0,100,10,100,-2.05558216167842,0.339067067120559,0.138008579444156,3
119,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,3,2,3,10,100,3,4,4,6,3,0,0,0,0,7,0,4,4,0,6,6,5,4,4,0,0,100,100,100,-2.28944985052066,1.08103086428177,0.294314664803105,3
120,0,0,0,0,1,0,1,1,0,2,6,2,3,5,2,5,3,2,3,4,10000,100,4,4,4,5,3,0,0,0,0,5,0,0,0,0,4,5,3,4,2,0,0,100,10,1000,-1.81718059429557,0.684681435002493,-1.11716039790635,3
121,0,0,0,0,1,0,1,1,0,1,6,2,1,5,2,6,2,2,3,4,100,100,1,3,4,5,3,0,0,0,0,3,0,0,2,0,4,4,5,5,6,0,0,100,10,1000,-3.02692399878454,0.38092522451859,-0.935589660161312,3
122,0,0,0,1,0,0,0,0,1,2,1,3,2,3,6,3,3,3,6,2,1,10,5,2,6,3,5,0,0,0,0,0,0,0,0,3,4,5,3,4,6,0,1,1,0,1000,0.326844611850696,-4.92676102158283,-0.953816375869568,4
123,0,0,0,0,1,0,1,1,0,3,5,3,2,5,3,6,3,2,2,4,10000,100,4,4,4,5,2,0,0,0,0,7,0,0,3,0,5,5,4,4,4,0,0,10,10,100,-1.80596522294386,0.485596659908263,0.0328679473569536,3
124,0,1,1,0,0,1,0,0,0,5,2,2,5,2,2,3,6,6,2,6,1e+07,0,2,6,2,4,3,0,5,5,0,0,0,0,0,0,4,3,3,5,4,0,0,100,1,1,3.21271425122683,1.19564634858486,-0.867002337570033,1
125,0,1,1,0,0,1,0,0,0,6,4,3,5,2,2,2,5,5,3,6,1e+07,0,5,6,2,3,2,0,5,2,0,0,2,0,0,0,4,4,4,5,3,0,0,0,1,1,2.78948712809493,0.501581347643918,0.037539278003454,1
126,0,1,1,0,0,1,0,0,0,5,3,3,5,2,2,3,4,5,2,5,1000,0,5,5,2,5,3,0,0,0,0,0,8,0,0,0,4,6,4,4,2,0,0,0,1,10,2.27203743402255,0.815565497381837,0.409867912700752,1
127,1,0,0,0,0,0,0,0,0,1,2,6,4,2,2,3,3,3,2,1,0,1,1,2,2,2,5,5,0,0,0,0,2,0,0,0,3,5,5,4,3,1,10,1,0,100,0.581573722948963,-0.861482856355547,4.49722365701363,2
128,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,2,3,4,10,100,4,4,4,5,3,0,0,0,0,0,0,2,0,0,4,4,5,5,5,0,0,100,10,100,-2.06478526907342,0.351862369376166,0.126915099992055,3
129,0,0,0,0,1,0,1,1,0,2,5,3,2,6,2,6,2,3,3,3,10,100,2,4,4,5,3,0,0,0,0,0,0,0,7,0,5,4,5,5,5,0,0,10,10,1000,-2.3132073501648,0.470642931693881,0.0502705286414288,3
130,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,2,3,3,4,10000,100,4,4,4,6,2,0,0,0,0,2,0,3,0,0,5,4,5,3,4,0,0,100,10,100,-2.06953277494911,0.331191966240407,0.142042754663677,3
131,0,0,0,1,0,0,0,0,1,2,3,3,2,2,5,3,3,2,6,1,1e+05,10,2,3,6,2,4,0,6,0,5,0,0,0,0,0,5,4,4,5,5,1,1,100,10,1000,-0.123329543470589,-4.26520041629384,-0.709127248807801,4
132,0,0,0,0,1,0,1,1,0,2,4,3,2,5,2,6,1,1,2,3,10000,100,2,4,4,5,3,0,0,0,0,0,0,4,2,0,4,4,5,3,3,0,0,100,10,100,-2.57144137132523,0.404049106290498,0.621487637092493,3
133,0,0,0,1,0,0,0,0,1,2,1,3,3,3,5,3,3,2,5,2,1e+05,10,1,3,6,2,5,0,0,0,5,0,0,0,0,2,4,4,3,4,5,1,1,1,10,10000,0.313748906329482,-3.78834850886976,-0.469915006938337,4
134,0,1,1,0,0,1,0,0,0,6,3,3,6,1,2,3,6,4,2,6,1000,0,4,5,2,3,3,4,0,0,0,0,9,0,0,0,4,4,5,4,4,0,0,0,10,100,3.24740662016258,1.04292814431965,0.29550849220323,1
135,0,0,0,0,1,0,1,1,0,1,6,3,2,5,2,6,2,3,2,4,10000,100,2,4,4,6,4,0,0,0,0,2,0,0,0,0,4,5,4,5,4,0,0,100,100,100,-2.53722350298878,0.966010688730897,0.358840628789147,3
136,0,1,1,0,0,1,0,0,0,5,3,2,5,2,2,3,5,4,3,6,1000,0,6,5,3,4,2,0,0,3,0,0,0,0,0,0,4,5,3,3,5,0,0,100,1,10,2.26151039080732,0.461603066874188,-1.01104040411181,1
137,0,1,1,0,0,1,0,0,0,5,3,3,5,3,3,3,6,4,3,5,1000,0,2,5,2,3,3,0,3,0,0,0,6,0,0,0,6,5,4,5,5,0,0,0,1,10,2.2847766152769,-0.0349101689355145,-0.256552780362491,1
138,0,0,0,1,0,0,0,0,1,2,2,3,3,2,5,3,2,2,6,1,1e+05,10,4,2,5,2,4,0,0,0,0,0,0,0,0,3,3,4,4,5,4,1,1,1,0,0,0.0874254361404156,-4.45522764423755,-0.623898016305799,4
139,0,0,0,0,1,0,1,1,0,2,5,3,2,6,2,6,2,1,3,4,10000,100,3,5,4,5,2,0,0,0,0,0,0,5,3,0,4,4,4,4,5,0,0,0,1,10,-2.79441316517955,0.264027819897527,0.151987697489359,3
140,0,1,1,0,0,1,0,0,0,6,2,3,5,3,2,3,5,5,2,5,1e+06,0,4,5,2,4,3,0,0,4,0,0,0,0,0,0,5,5,4,5,5,0,0,0,1,10,2.74376927845468,1.02082025383963,0.26731826576981,1
141,0,1,1,0,0,1,0,0,0,6,2,3,6,2,3,3,5,6,3,6,1000,0,4,5,2,4,3,0,0,3,0,0,4,0,0,0,4,5,5,4,4,0,0,0,1,10,3.46818563758648,-0.0427530749854671,-0.245794454672212,1
142,0,0,0,0,1,0,1,1,0,3,6,2,1,5,3,5,3,3,3,4,10000,100,3,4,4,5,3,0,0,0,0,0,0,0,5,0,4,4,5,5,4,0,0,100,10,100,-1.7877689972786,0.130788577630452,-1.37308924974474,3
143,0,1,1,0,0,1,0,0,0,5,3,3,5,2,2,3,4,6,2,6,1000,0,4,5,3,4,2,0,0,0,0,5,0,0,0,0,4,4,5,4,6,0,0,0,1,10,2.51264034152993,0.918873053280014,0.359009328276787,1
144,0,1,1,0,0,1,0,0,0,5,4,3,6,2,3,3,5,6,3,6,1000,0,5,5,2,4,2,0,0,0,0,0,6,0,0,0,5,5,6,5,4,0,0,0,1,10,2.77584727752511,0.188615436624643,-0.340738055032041,1
145,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,3,6,5,2,5,1000,0,3,6,3,4,3,0,0,0,0,0,9,4,0,0,6,4,5,5,4,0,0,0,1,1,3.01051191325681,1.17854159100058,0.213369470523536,1
146,0,1,1,0,0,1,0,0,0,6,3,2,5,2,2,3,6,5,3,6,1e+07,0,3,5,2,4,2,0,5,0,0,0,0,3,0,0,6,6,5,4,5,0,0,100,1,10,2.99523736416589,0.803908757357174,-1.19241119161741,1
147,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,3,6,5,2,6,1000,0,6,5,3,4,3,0,0,0,0,7,4,0,0,0,5,3,4,5,6,0,0,0,1,10,3.01051191325681,1.17854159100058,0.213369470523536,1
148,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,2,3,4,10000,100,3,3,4,5,3,0,0,0,0,9,0,0,0,0,5,4,3,4,4,0,0,10,10,10000,-2.06478526907342,0.351862369376166,0.126915099992055,3
149,0,0,0,0,1,0,1,1,0,3,5,3,2,5,2,6,3,2,2,3,100,100,2,4,4,5,3,0,0,0,0,3,0,5,0,0,5,4,4,6,4,0,0,100,100,100,-1.81464633838021,1.04352709938791,0.294395828318377,3
150,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,6,2,3,3,3,10000,100,3,4,4,5,3,0,0,0,0,2,0,2,7,0,4,3,4,3,4,0,0,10,10,100,-2.0440414762776,0.619406485371772,-0.00221799149529903,3
151,0,0,0,0,1,0,1,1,0,3,6,3,2,4,2,5,2,3,3,3,10,100,4,4,4,6,2,0,0,0,0,0,0,0,6,0,5,4,4,4,5,0,0,100,10,100,-1.55139364081902,0.33042344647595,0.159479277396578,3
152,0,0,0,1,0,0,0,0,1,2,1,3,1,3,6,3,2,1,5,2,1,10,1,2,5,2,4,0,0,0,0,0,0,0,4,5,4,5,4,5,5,0,1,1,0,100,-0.631169377519499,-4.78785461262297,-0.493614486847168,4
153,1,0,0,0,0,0,0,0,0,3,3,6,2,2,2,3,2,3,2,1,0,1,4,2,2,2,6,4,0,0,0,0,2,0,0,0,6,5,5,5,5,1,10,1,0,10,0.141842182310634,-0.796516270048687,4.47540676349724,2
154,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,6,2,3,3,4,10000,100,2,4,4,5,3,0,0,0,0,9,0,0,0,0,3,5,3,5,3,0,0,100,100,100,-2.0440414762776,0.619406485371772,-0.00221799149529903,3
155,0,0,0,1,0,0,0,0,1,3,2,2,4,2,5,3,3,2,6,1,1e+05,10,3,3,6,2,4,0,0,0,9,0,0,0,0,3,6,5,4,5,5,1,1,100,100,1000,0.801463270323203,-3.90707271416456,-1.98867597798253,4
156,0,0,0,1,0,0,0,0,1,2,4,3,2,2,6,3,2,4,6,2,1e+05,10,4,2,5,2,3,0,0,0,9,0,0,0,0,0,5,5,5,4,5,0,1,1,0,10000,-0.101075380199168,-4.56729935943058,-1.0861208416945,4
157,0,1,1,0,0,1,0,0,0,5,3,3,6,1,2,3,4,5,2,5,1e+06,0,3,5,2,4,3,0,3,4,0,0,0,0,0,0,5,4,4,4,4,0,0,100,10,10,2.7495350484357,0.783259606599085,0.441148349956481,1
158,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,6,2,1,2,4,100,100,3,4,4,5,2,0,0,0,0,0,0,4,0,0,4,6,2,6,5,0,0,100,10,100,-2.52288201306728,0.98943592803629,0.331505869664994,3
159,0,1,1,0,0,1,0,0,0,5,2,3,5,2,2,3,6,5,3,5,1e+07,0,2,6,2,4,3,0,7,0,0,0,0,5,0,0,6,4,4,4,4,0,0,0,1,1,2.98265533636024,0.313682517408346,0.12562352437015,1
160,0,0,0,0,1,0,1,1,0,3,6,3,3,6,2,6,2,3,3,3,100,100,4,4,4,5,3,0,3,0,0,0,0,4,0,0,4,5,4,4,3,0,0,100,10,100,-2.05389301229585,0.866002525495967,-0.154482006284067,3
161,0,0,0,0,1,0,1,1,0,3,5,3,2,5,3,6,3,2,3,4,10,100,3,4,4,5,2,0,0,0,0,0,0,0,2,0,6,4,4,5,3,0,0,100,10,100,-1.80833050116893,-0.0910478945526089,-0.199138744955409,3
162,0,0,0,0,1,0,1,1,0,2,5,2,3,5,1,6,1,3,2,4,10000,100,5,4,4,6,3,0,0,0,0,6,0,0,0,0,6,4,3,6,5,0,0,100,10,100,-2.10028525721186,1.65094579663518,-0.53270219156205,3
163,0,0,0,0,1,0,1,1,0,2,5,3,2,6,2,6,2,2,2,4,100,100,3,4,4,5,3,0,0,0,0,0,0,8,0,3,6,3,5,5,4,0,0,100,100,100,-2.5514449794471,0.943979930256575,0.333135805377757,3
164,0,1,1,0,0,1,0,0,0,4,3,3,5,2,2,2,6,4,3,6,1e+07,0,3,6,2,4,3,0,2,4,0,0,0,0,0,0,3,5,4,6,5,0,0,0,1,1,2.52096968283099,0.119017056097438,0.23119833347685,1
165,0,1,1,0,0,1,0,0,0,6,4,3,5,3,2,3,5,6,3,6,1000,0,5,5,2,4,3,0,4,0,0,0,5,0,0,0,5,5,4,6,4,0,0,100,1,10,2.53744220014373,0.893871942437917,-0.175016575312388,1
166,0,1,1,0,0,1,0,0,0,5,3,2,5,3,2,2,5,5,3,6,1e+07,0,3,6,2,4,2,0,9,0,0,0,4,0,0,0,6,6,5,5,4,0,0,0,1,1,2.50741198334188,0.554829514783489,-1.0837461716884,1
167,0,0,0,0,1,0,1,1,0,2,5,2,3,5,2,6,3,3,2,4,10000,100,2,4,4,5,3,0,0,0,0,2,0,0,5,0,4,5,4,5,4,0,0,1,100,100,-1.60090331500937,1.3409712752234,-0.926202550714648,3
168,0,0,0,1,0,0,0,0,1,2,2,3,1,2,5,3,1,2,6,2,1,10,4,3,5,2,4,0,0,0,0,0,0,3,0,4,5,4,4,4,5,1,1,10,100,1000,-0.625571055637547,-4.79349575261293,-0.436928199677172,4
169,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,6,3,1,3,4,10000,100,4,4,4,5,3,0,0,0,0,2,0,0,5,0,6,4,4,3,4,0,0,100,100,1000,-2.29143756331011,0.256429914358142,0.173739509196499,3
170,0,0,0,0,1,0,1,1,0,3,5,3,2,5,2,6,1,2,3,4,10,100,4,4,4,5,3,0,0,0,0,0,0,0,8,0,5,5,4,6,6,0,0,100,100,100,-2.30771244337142,0.218926626859168,0.194361614197188,3
171,0,0,0,1,0,0,0,0,1,1,3,3,2,3,5,3,2,2,5,2,1,10,5,2,6,3,4,0,0,0,0,0,0,0,0,5,5,5,4,5,4,0,1,1,0,0,-0.857762906312406,-3.78810303096431,-0.438380579436059,4
172,0,0,0,0,1,0,1,1,0,2,6,3,3,5,3,6,3,2,3,3,10000,100,6,4,4,6,2,6,0,0,0,8,0,0,0,0,4,5,5,4,4,0,0,100,10,100,-2.04456346823623,0.0742713481477304,-0.274839351908822,3
173,0,0,0,0,1,0,1,1,0,1,5,2,1,6,3,6,2,2,2,4,100,100,4,4,4,5,3,0,0,0,0,0,0,2,6,2,4,2,4,4,4,0,0,100,0,100,-3.03726982654218,0.365895961372795,-0.977148292659686,3
174,1,0,0,0,0,0,0,0,0,3,3,6,3,2,2,3,2,2,2,2,0,1,4,2,3,2,6,4,0,0,0,5,3,0,0,0,4,5,4,5,5,0,10,1,0,0,0.135062314000705,-0.792678751276143,4.46577355915469,2
175,0,1,1,0,0,1,0,0,0,6,2,3,6,2,2,3,5,6,3,6,1e+07,0,4,5,3,3,2,0,5,5,0,0,0,2,0,0,5,4,5,6,4,0,0,0,1,100,3.45950452215012,0.515177364494182,0.0157334262892107,1
176,0,1,1,0,0,1,0,0,0,6,3,3,6,2,2,2,5,5,3,6,1000,0,3,5,3,3,3,0,0,0,0,4,3,0,0,0,5,4,4,4,5,0,0,0,1,10,3.245592521089,0.435532078734147,0.0567822714098693,1
177,0,1,1,0,0,1,0,0,0,6,3,3,5,2,3,3,5,5,2,5,1000,0,2,5,3,3,3,0,0,0,0,0,3,0,0,0,6,5,4,3,4,0,0,0,1,10,2.77384261531011,0.496633192486998,0.0178278286577004,1
178,0,1,1,0,0,1,0,0,0,5,2,3,5,2,2,3,6,6,3,6,1e+07,0,3,5,3,4,3,0,0,3,0,0,0,0,0,0,5,4,3,5,3,0,0,0,1,10,3.22325824386761,0.416990073306522,0.0747649399461848,1
179,0,1,1,0,0,1,0,0,0,6,3,3,5,3,2,3,5,6,3,5,1000,0,3,6,2,4,2,0,0,0,0,3,3,0,0,0,5,5,4,4,3,0,0,100,1,1,2.75972455394036,0.720677598857425,-0.0952817931394531,1
180,0,0,0,0,1,0,1,1,0,2,6,2,3,5,1,6,2,3,3,3,10,100,3,3,5,5,2,0,0,0,0,0,0,2,4,5,4,5,5,5,4,0,0,100,100,1000,-2.07958247585049,1.37147354478873,-0.910429905142935,3
181,0,1,1,0,0,1,0,0,0,6,3,3,5,3,2,3,6,5,3,6,1e+07,0,4,5,3,4,3,0,6,0,0,0,0,3,0,0,6,4,4,6,5,0,0,0,1,10,2.76447205981605,0.741348001993184,-0.110409447811075,1
182,0,1,1,0,0,1,0,0,0,5,3,2,5,2,3,3,5,5,3,6,1e+07,0,1,5,3,3,3,0,4,5,0,0,0,0,0,0,6,4,6,6,6,0,0,0,1,10,2.51079441375105,0.00698018329271581,-1.3234268694972,1
183,0,0,0,1,0,0,0,0,1,2,3,3,2,2,6,3,3,3,5,1,1e+05,10,4,2,6,2,4,0,0,0,5,0,0,2,0,2,4,4,4,5,5,1,1,1,0,100,0.128319757698218,-4.14317874541445,-0.789507021880827,4
184,0,0,0,0,1,0,1,1,0,2,6,3,1,5,3,6,3,3,2,4,10000,100,5,4,4,5,4,0,0,0,0,9,4,0,3,0,4,4,5,5,4,0,0,100,10,100,-2.26924136089868,0.539933309165336,0.0272923335126147,3
185,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,2,6,5,2,6,1e+06,0,5,5,2,4,2,0,0,9,0,0,3,0,0,0,5,5,5,3,4,0,0,0,1,10,3.25948517349969,1.02900951755823,0.283294513393165,1
186,0,0,0,0,1,0,1,1,0,3,6,3,3,5,2,6,1,3,3,4,10000,100,3,4,4,5,2,0,0,0,0,4,0,0,5,0,5,6,5,5,5,0,0,10,0,100,-2.05556885046322,0.602573601008558,0.0032764588337684,3
187,0,1,1,0,0,1,0,0,0,5,3,3,6,2,2,3,6,5,2,5,1000,0,3,6,3,4,3,0,0,0,0,0,3,0,0,0,3,5,5,6,5,0,0,0,1,1,2.99656129998613,1.17066649012043,0.217403645743058,1
188,0,0,0,0,1,0,1,1,0,3,6,3,4,6,2,5,2,1,3,4,100,100,4,3,4,5,3,0,0,0,0,0,0,9,6,0,4,5,4,6,5,0,0,100,10,10000,-2.05230252787027,0.617000414927986,-0.0433315833330285,3
189,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,3,2,3,4,100,100,3,4,5,5,3,0,0,0,0,0,0,0,0,0,6,4,4,5,6,0,0,10,100,10000,-2.28706762287004,0.525056712956658,0.0471803178191205,3
190,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,1,3,4,10,100,5,4,3,6,3,0,0,0,0,5,0,7,2,0,4,4,5,5,6,0,0,100,100,100,-2.77302094376048,0.297771198024545,0.164025141338673,3
191,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,6,3,2,3,4,10000,100,2,4,4,5,3,0,0,0,0,5,6,0,3,0,5,6,6,5,4,0,0,10,10,100,-2.05083465580273,0.359737470256318,0.122880924772534,3
192,0,0,0,0,1,0,1,1,0,2,6,3,2,5,3,6,3,2,3,4,100,100,4,4,4,5,3,0,0,0,0,0,0,7,0,0,5,5,4,5,5,0,0,100,10,10000,-2.27838650743368,-0.0328737265229908,-0.214347563142303,3
193,0,0,0,0,1,0,1,1,0,3,5,2,1,5,2,6,2,2,3,4,10000,100,3,4,4,5,3,0,0,0,0,0,3,0,0,0,4,4,4,5,4,0,0,100,10,100,-2.30909434005166,0.437771232039845,-0.98490680596046,3
194,0,1,1,0,0,1,0,0,0,5,1,3,6,1,3,3,6,5,3,6,1e+06,0,4,6,3,4,2,0,5,6,0,0,0,0,0,0,4,4,5,3,3,0,0,0,10,1,3.69111642000636,-0.449748156434547,-0.0248891371626092,1
195,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,3,3,4,100,100,3,4,4,6,3,0,0,0,0,0,0,6,6,0,5,5,4,5,4,0,0,100,10,100,-1.82418236156604,0.455169925274343,0.0760565155680902,3
196,0,1,1,0,0,1,0,0,0,5,3,3,5,1,2,3,5,4,2,6,1e+07,0,4,6,3,4,3,0,7,4,0,0,0,0,0,0,4,3,3,5,4,0,0,0,1,1,2.52045951511394,0.696784935064123,0.486512484051379,1
197,0,1,1,0,0,1,0,0,0,5,3,3,5,2,2,3,6,6,2,6,1000,0,4,6,3,4,2,0,0,0,0,3,2,0,0,0,6,5,3,5,4,0,0,0,1,1,3.00334116829606,1.16682897134789,0.227036850085613,1
198,0,0,0,0,1,0,1,1,0,2,5,3,1,5,2,6,3,1,3,4,100,100,2,4,4,5,2,0,0,0,0,4,0,3,2,0,6,5,4,4,4,0,0,100,10,10000,-2.53921121577824,0.141409738807268,0.23826547318254,3
199,0,0,0,0,1,0,1,1,0,3,6,3,2,5,3,6,2,2,2,4,10,100,3,4,4,5,2,0,0,0,0,0,0,0,9,0,5,5,5,4,5,0,0,100,100,100,-2.27359799012355,0.534813044454818,0.0191194042796059,3
200,0,1,1,0,0,1,0,0,0,5,4,3,5,2,2,3,6,6,2,5,1e+06,0,3,6,2,4,2,0,0,5,0,0,3,0,0,0,5,4,2,5,6,0,0,0,10,1,2.78105881449944,1.34002331492838,0.147302067912678,1
201,0,1,1,0,0,1,0,0,0,5,3,2,5,2,3,2,6,6,3,5,1e+07,0,5,5,3,4,2,0,6,2,0,0,0,0,0,0,5,4,4,3,4,0,0,100,10,10,3.24572099488437,0.0847336247824794,-1.37034665014713,1
202,0,0,0,0,1,0,1,1,0,3,5,3,2,5,3,5,3,2,3,4,10000,100,3,4,4,5,2,0,0,0,0,0,0,0,4,0,4,3,4,6,4,0,0,100,10,10000,-1.55935724092605,-0.240579967994958,-0.129213702085781,3
203,0,0,0,0,1,0,1,1,0,3,5,3,3,5,2,6,3,2,3,3,10000,100,4,4,4,5,2,0,0,0,0,6,0,3,0,0,4,6,4,6,5,0,0,100,100,100,-1.58318857740784,0.574027619597761,0.0018973472394942,3
204,0,0,0,0,1,0,1,1,0,2,6,3,2,6,2,6,2,2,2,4,100,100,2,4,4,5,2,0,0,0,0,0,0,6,4,0,4,4,4,3,5,0,0,10,100,100,-2.77372733324373,1.11717427383707,0.253401023204822,3
205,0,0,0,0,1,0,1,1,0,2,6,3,2,4,2,6,3,2,3,3,10000,100,3,3,4,6,2,0,0,0,0,8,9,0,4,0,5,6,4,5,3,0,0,100,10,1000,-2.04339304765434,0.385605747503184,0.138952543841369,3
206,0,0,0,1,0,0,0,0,1,3,2,3,4,2,5,3,3,2,6,2,1,10,2,2,5,2,4,0,0,0,0,0,0,0,3,0,4,5,4,5,5,0,1,1,0,10,0.814372541189058,-4.10908443498202,-0.814902008153948,4
207,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,3,2,2,4,10000,100,2,3,4,5,2,0,0,0,0,5,0,0,4,0,5,4,4,3,4,0,0,100,10,1000,-2.28470234464497,1.10170126741753,0.279187010131483,3
208,0,1,1,0,0,1,0,0,0,6,4,3,6,2,2,3,5,5,3,6,1000,0,2,5,3,4,3,0,0,0,0,0,4,0,0,0,5,5,5,3,6,0,0,100,1,10,2.7743369070495,0.758258495756988,-0.092877553632694,1
209,0,1,1,0,0,1,0,0,0,5,3,3,5,3,2,3,4,4,3,5,1000,0,3,5,3,4,3,0,0,2,0,0,0,0,0,0,5,3,5,4,5,0,0,0,1,10,1.78539467307441,0.275064352476262,0.136947578790106,1
210,0,0,0,1,0,0,0,0,1,3,3,3,2,2,5,2,3,3,5,1,1,10,4,2,5,2,4,0,0,0,0,0,0,0,0,2,5,5,5,4,5,1,1,1,0,100,0.616385554972868,-3.61976020382627,-0.522580062035817,4
211,1,0,0,0,0,0,0,0,0,2,2,6,2,3,3,3,2,2,3,2,0,1,6,3,2,2,6,0,0,0,0,5,0,0,0,0,4,4,4,4,5,1,10,100,10,1000,-0.361610761872659,-2.18316237356528,4.08521929478415,2
212,0,1,1,0,0,1,0,0,0,6,2,3,4,2,3,3,4,5,3,5,1000,0,3,5,3,4,2,0,2,0,0,0,5,0,0,0,6,4,4,6,6,0,0,0,10,10,2.51458623830114,-0.484328739259022,-0.00796605361962041,1
213,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,2,3,3,10,100,3,4,4,5,3,0,0,0,0,0,0,0,4,0,4,5,4,5,5,0,0,100,10,100,-2.5324180362531,0.401078753922722,0.113166556914708,3
214,0,0,0,0,1,0,1,1,0,2,6,3,1,5,2,5,2,1,3,4,10000,100,2,3,4,5,3,0,0,0,0,6,3,0,0,0,6,6,4,5,4,0,0,100,100,10000,-2.75787072271505,0.0410940499114749,0.294441972974821,3
215,0,0,0,0,1,0,1,1,0,2,6,3,2,6,2,6,3,3,3,3,10000,100,4,4,4,5,2,0,0,0,0,8,0,0,0,0,5,3,4,5,4,0,0,100,10,100,-2.29013929057836,0.767815234308308,-0.0954504926270933,3
216,0,0,0,0,1,0,1,1,0,3,6,3,2,5,3,6,2,2,2,4,100,100,3,4,4,5,3,0,0,0,0,0,0,4,5,0,5,3,4,4,5,0,0,100,10,100,-2.27359799012355,0.534813044454818,0.0191194042796059,3
217,0,0,0,0,1,0,1,1,0,3,6,2,2,6,2,6,2,2,2,4,10,100,3,4,4,5,3,0,0,0,0,3,0,2,2,0,4,4,3,4,5,0,0,100,100,100,-2.53886295164145,1.4342061702054,-0.984898910609801,3
218,0,0,0,0,1,0,1,1,0,2,6,3,1,5,2,6,3,2,3,4,100,100,6,4,4,5,2,0,0,0,0,0,0,5,0,0,5,3,5,6,5,0,0,100,100,100,-2.52089066206749,0.417911638285936,0.10767210658564,3
219,0,1,1,0,0,1,0,0,0,6,2,3,5,2,3,3,5,5,2,6,1e+07,0,5,5,3,4,2,0,2,2,0,0,0,3,0,0,5,4,4,4,4,0,0,0,1,10,2.99612496910673,0.323438848906507,0.0975626108306354,1
220,0,1,1,0,0,1,0,0,0,6,2,3,6,2,2,3,5,5,2,6,1e+07,0,4,5,2,4,2,0,6,5,0,0,2,0,0,0,3,4,4,3,3,0,0,100,1,100,3.22126689286782,0.988514363056876,0.298598703025539,1
